schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion
Liberty2013,0,0,0,0,0,0
Ohio St.2013,1,1,1,0,0,0
Pacific2013,0,0,0,0,0,0
James Madison2013,0,0,0,0,0,0
Memphis2013,1,0,0,0,0,0
Valparaiso2013,0,0,0,0,0,0
Iona2013,0,0,0,0,0,0
Akron2013,0,0,0,0,0,0
North Carolina A&T2013,0,0,0,0,0,0
Creighton2013,1,0,0,0,0,0
New Mexico2013,0,0,0,0,0,0
LIU Brooklyn2013,0,0,0,0,0,0
Belmont2013,0,0,0,0,0,0
Oregon2013,1,1,0,0,0,0
Bucknell2013,0,0,0,0,0,0
Mississippi2013,1,0,0,0,0,0
Davidson2013,0,0,0,0,0,0
Northwestern St.2013,0,0,0,0,0,0
South Dakota St.2013,0,0,0,0,0,0
Western Kentucky2013,0,0,0,0,0,0
Southern2013,0,0,0,0,0,0
New Mexico St.2013,0,0,0,0,0,0
Gonzaga2013,1,0,0,0,0,0
Arizona2013,1,1,0,0,0,0
Boise St.2013,0,0,0,0,0,0
Butler2013,1,0,0,0,0,0
California2013,1,0,0,0,0,0
Cincinnati2013,0,0,0,0,0,0
Colorado2013,0,0,0,0,0,0
Colorado St.2013,1,0,0,0,0,0
Duke2013,1,1,1,0,0,0
Florida2013,1,1,1,0,0,0
Georgetown2013,0,0,0,0,0,0
Illinois2013,1,0,0,0,0,0
Indiana2013,1,1,0,0,0,0
Iowa St.2013,1,0,0,0,0,0
Kansas St.2013,0,0,0,0,0,0
La Salle2013,1,1,0,0,0,0
Marquette2013,1,1,1,0,0,0
Michigan2013,1,1,1,1,1,0
Michigan St.2013,1,1,0,0,0,0
Middle Tennessee2013,0,0,0,0,0,0
Minnesota2013,1,0,0,0,0,0
Missouri2013,0,0,0,0,0,0
North Carolina St.2013,0,0,0,0,0,0
North Carolina2013,1,0,0,0,0,0
Notre Dame2013,0,0,0,0,0,0
Oklahoma2013,0,0,0,0,0,0
Oklahoma St.2013,0,0,0,0,0,0
Pittsburgh2013,0,0,0,0,0,0
Saint Mary's2013,0,0,0,0,0,0
San Diego St.2013,1,0,0,0,0,0
Syracuse2013,1,1,1,1,0,0
Temple2013,1,0,0,0,0,0
UCLA2013,0,0,0,0,0,0
UNLV2013,0,0,0,0,0,0
Villanova2013,0,0,0,0,0,0
VCU2013,1,0,0,0,0,0
Wichita St.2013,1,1,1,1,0,0
Wisconsin2013,0,0,0,0,0,0
Harvard2014,1,0,0,0,0,0
Virginia2014,1,1,0,0,0,0
Albany2014,0,0,0,0,0,0
Louisville2014,1,1,0,0,0,0
Saint Joseph's2014,0,0,0,0,0,0
Mercer2014,1,0,0,0,0,0
Iowa St.2014,1,1,0,0,0,0
Providence2014,0,0,0,0,0,0
Weber St.2014,0,0,0,0,0,0
Coastal Carolina2014,0,0,0,0,0,0
Michigan St.2014,1,1,1,0,0,0
Cal Poly2014,0,0,0,0,0,0
Delaware2014,0,0,0,0,0,0
Tulsa2014,0,0,0,0,0,0
Milwaukee2014,0,0,0,0,0,0
Manhattan2014,0,0,0,0,0,0
Western Michigan2014,0,0,0,0,0,0
North Carolina Central2014,0,0,0,0,0,0
Wichita St.2014,1,0,0,0,0,0
New Mexico2014,0,0,0,0,0,0
Mount St. Mary's2014,0,0,0,0,0,0
Eastern Kentucky2014,0,0,0,0,0,0
UCLA2014,1,1,0,0,0,0
American2014,0,0,0,0,0,0
Florida2014,1,1,1,1,0,0
Wofford2014,0,0,0,0,0,0
Stephen F. Austin2014,1,0,0,0,0,0
North Dakota St.2014,1,0,0,0,0,0
Louisiana Lafayette2014,0,0,0,0,0,0
Texas Southern2014,0,0,0,0,0,0
New Mexico St.2014,0,0,0,0,0,0
Gonzaga2014,1,0,0,0,0,0
Arizona2014,1,1,1,0,0,0
Arizona St.2014,0,0,0,0,0,0
Baylor2014,1,1,0,0,0,0
BYU2014,0,0,0,0,0,0
Cincinnati2014,0,0,0,0,0,0
Colorado2014,0,0,0,0,0,0
